food,image_url,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Milkshake,https://www.allrecipes.com/thmb/uzxCGTc-5WCUZnZ7BUcYcmWKxjo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-48974-vanilla-milkshake-hero-4x3-c815295c714f41f6b17b104e7403a53b.jpg,112,3000,1900,880,110,18000,18000,3900,0,12,95,0.0273,0.03,0.007,0.00052,0.2,0.15,0.37,0.04,0,0.0012,0.05,0.0002,146,0.1,0.05,12,0.01,115,183,0.0023,0.39,Dairy
Fontina,https://upload.wikimedia.org/wikipedia/commons/3/34/Fontina_DOP.jpg,389,31000,19000,8700,1700,1600,1600,26000,0,116,800,0.2739,0.02,0.006,0.0017,0.2,0.15,0.43,0.08,0,0.0006,0.27,0.0026,550,0.23,0.03,14,0.01,346,64,0.015,3.5,Dairy
Provolone,https://brennansmarket.com/cdn/shop/products/provolone_web.jpg?v=1614583419,351,27000,17000,7400,770,2100,560,26000,0,69,876,0.264,0.02,0.01,0.0015,0.32,0.16,0.48,0.07,0,0.0005,0.23,0.0022,756,0.52,0.03,28,0.01,496,138,0.015,3.2,Dairy
Edam,https://daylambanh.edu.vn/wp-content/uploads/2019/06/edam-cheese-la-gi-1.jpg,357,28000,18000,8100,670,1400,1400,25000,0,89,812,0.2475,0.04,0.016,0.0015,0.39,0.08,0.28,0.08,0,0.0005,0.24,0.0023,731,0.44,0.04,30,0.01,536,188,0.015,3.8,Dairy
Cottage cheese,https://daylambanh.edu.vn/wp-content/uploads/2019/06/cottage-cheese-la-gi.jpg,98,4300,1700,780,120,3400,2700,11000,0,17,364,0.042,0.03,0.012,0.00043,0.16,0.1,0.56,0.05,0,0.0001,0.08,0,83,0.07,0.03,8,0,159,104,0.0097,0.4,Dairy
Butter,https://cdn.britannica.com/27/122027-050-EAA86783/Butter.jpg,717,81000,50000,23000,3000,60,60,850,0,215,11,0.7497,0.01,0.003,0.00017,0.03,0.04,0.11,0,0,0,2.3,0.007,24,0.02,0.02,2,0,24,24,0.001,0.09,Dairy
Romano cheese,https://cheesemaking.com/cdn/shop/products/romano-cheese-making-recipe-520939.jpg?v=1744671579&width=1200,387,27000,17000,7800,590,3600,730,32000,0,104,1433,0.1245,0.04,0.007,0.0011,0.37,0.08,0.42,0.09,0,0.0005,0.23,0.0022,1064,0.77,0.03,41,0.02,760,86,0.015,2.6,Dairy
Goat milk,https://ogden_images.s3.amazonaws.com/www.iamcountryside.com/images/sites/2/2019/03/13140659/shutterstock_414901216-e1536954249170.jpg,69,4100,2700,1100,150,4500,4500,3600,0,11,50,0.0594,0.05,0.001,7.00E-05,0.14,0.28,0.31,0.05,1.3,0.0013,0.07,0.0003,134,0.05,0.05,14,0.02,111,204,0.0014,0.3,Dairy
Nattō,https://www.seriouseats.com/thmb/5tq4s51XldNh0LTAAuUbcfgWMVY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/20230407-SEA-Natto-LorenaMasso-10-5b754e0b7ab24136b86859d5cf984913.jpg,211,11000,1600,2400,6200,13000,4900,19000,5400,0,7,0,0.16,0.008,0,0.19,0,0.22,0.13,13,0,0.01,0.023,217,8.6,0.67,115,1.5,174,729,0.0088,3,Grains
Pumpkin seed,"https://images.immediate.co.uk/production/volatile/sites/30/2023/03/Bowl-of-pumpkin-seeds-b4a5510.jpg?quality=90&resize=440,400",446,19000,3700,6000,8800,54000,0,19000,18000,0,18,0.0186,0.03,0.009,0,0.05,0.29,0.06,0.04,0.3,0,0,0,55,3.3,0.69,262,0.5,92,919,0,10,Grains
Ladyfingers,https://www.seriouseats.com/thmb/_9u33FUA2XqPUu_OuTQSZ4KsJU8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__images__2017__06__20170523-ladyfingers-vicky-wasik-17-e30565f46eaf450db221e7c3cfa0787c.jpg,363,9100,3000,3700,1400,60000,0,11000,1000,221,147,0.1668,0.28,0.077,0.00075,0.43,2.1,1.1,0.12,0,0,0,0,47,3.6,0.1,12,0.24,173,113,0,1.1,Grains
Nutmeg,https://frascoafrasco.pt/1143-large_default/noz-moscada-em-grao.jpg,525,36000,26000,3200,350,49000,3000,5800,21000,0,16,0.0306,0.35,0.076,0,0.06,1.3,0,0.16,3,0,0,0,184,3,1,183,2.9,213,350,0.0016,2.2,Grains
Pumpernickel bread,https://www.realsimple.com/thmb/P1am7Y3uXgDjwyRuC9hKaexQoc0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/pumpernickel-bread-GettyImages-89272718-4b0227dd377a411396b0fbaefaf93916.jpg,250,3100,440,930,1200,48000,530,8700,6500,0,596,0,0.33,0.093,0,0.31,3.1,0.4,0.13,0,0,0.42,0.0008,68,2.9,0.29,54,1.3,178,208,0.025,1.5,Grains
Lavash - Armenian Bread,https://triciaannemitchell.com/wp-content/uploads/2020/04/armenian-lavash-bread-1.jpg?w=1200,281,1200,200,100,500,60000,0,8700,3100,0,796,0,0.1,0.026,0,0.04,2.4,0,0.08,0,0,0.37,0,21,1.2,0.33,27,0.5,496,125,0.002,0.7,Grains
English muffins,https://aberlehome.com/wp-content/uploads/2023/11/whole-wheat-sourdough-english-muffins-213-480x480.jpg,227,1700,730,380,500,44000,3500,8900,3500,0,425,0,0.48,0.094,4.00E-05,0.25,4.1,0.36,0.05,1.8,0,0.31,0.0012,163,4,0.14,24,0.51,92,109,0.022,1.1,Grains
Apple cider vinegar,https://m.media-amazon.com/images/I/61Z3LULwliS.jpg,21,0,0,0,0,930,400,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0.2,0.01,5,0.25,8,73,0.0001,0.04,Grains
Baked beans,https://i2.wp.com/easyrecipesfromhome.com/wp-content/uploads/2015/08/Baked-Beans-1.jpg,155,5200,1900,2100,740,22000,0,5500,5500,5,422,0,0.14,0.048,0,0.05,0.41,0.16,0.09,1.1,0,0,0,61,2,0.16,43,0.26,109,358,0.0057,0.73,Grains
Potato bread,https://pastrychefonline.com/wp-content/uploads/2020/04/jenni-potato-bread16-1.jpg,266,3100,0,0,0,47000,9400,13000,6300,0,375,0.0267,0.19,0.126,0.00015,0.11,1.3,0.82,0.23,0,0.0001,0.47,0.0068,188,2.3,0.09,28,0.25,369,718,0.0095,1.4,Grains
Cream cracker,https://i.ebayimg.com/images/g/6eQAAOSwX81kr7e~/s-l400.jpg,484,20000,5400,11000,2500,65000,9400,7000,2400,0,1148,0,0.3,0.149,0.00046,0.24,5.1,0.46,0.07,0,0,1.6,0.018,26,7.4,0.11,25,0.78,98,129,0.0095,0.66,Grains
Focaccia,https://cdn.loveandlemons.com/wp-content/uploads/opengraph/2023/12/foccacia-recipe.jpg,249,7900,880,5700,990,36000,1800,8800,1800,0,561,0.0006,0.47,0.138,0,0.3,3.7,0.65,0.11,0,0,1.4,0.0057,35,3.2,0.09,20,0.36,128,114,0.016,1.3,Grains
Strudel,https://www.giallozafferano.com/images/237-23714/Apple-strudel_1200x800.jpg,318,11000,2700,2800,4600,50000,17000,5000,1200,12,691,0.3948,0.39,0.074,0.0016,0.45,5.3,0,0.53,0,0,0,0,293,5.9,0,13,0,263,71,0,0.4,Grains
Wafer,https://www.biscuitpeople.com/media/cache/platform_hq/5876a5f645034.jpg,433,14000,4200,4900,4200,73000,37000,6600,3400,2,580,0.003,0.2,0.047,9.00E-05,0.27,2.9,0.38,0.05,0,0,0.72,0.0024,31,4,0.46,53,0.7,132,210,0.0057,1.1,Grains
Tofu yogurt,https://tastythriftytimely.com/wp-content/uploads/2023/01/5-Minute-Easy-Tofu-Yogurt-Featured.jpg,94,1800,260,400,1000,16000,1200,3500,200,0,35,0.0099,0.06,0.006,0,0.02,0.24,0,0.02,2.5,0,0.31,0.0035,118,1.1,0.08,40,0,38,47,0.013,0.31,Grains
Rye bread,https://assets.tmecosys.com/image/upload/t_web_rdp_recipe_584x480_1_5x/img/recipe/ras/Assets/163d208b08f12e778f73d6a16f97c4fa/Derivates/adbe476ed2875d06193355928ecb25b1af39673c.jpg,259,3300,630,1300,800,48000,3900,8500,5800,0,603,0.0021,0.43,0.11,0,0.34,3.8,0.44,0.08,0.4,0,0.33,0.0012,73,2.8,0.19,40,0.82,125,166,0.031,1.1,Grains
Crouton,https://chefsmandala.com/wp-content/uploads/2018/03/Croutons.jpg,407,6600,1500,3100,1300,74000,0,12000,5100,0,698,0,0.62,0.132,0,0.27,5.4,0.43,0.03,0,0,0,0,76,4.1,0.16,31,0.5,115,124,0.038,0.89,Grains
Navy beans,https://assets.tmecosys.com/image/upload/t_web_rdp_recipe_584x480_1_5x/img/recipe/ras/Assets/8365248ec8770c5b17f2503cad37bff4/Derivates/10a56b581c983a2454bb68d5ef9d7be1add1d615.jpg,140,620,100,140,490,26000,370,8200,11000,0,0,0,0.24,0.14,0,0.07,0.65,0.27,0.14,0.9,0,0.01,0.0006,69,2.4,0.21,53,0.53,144,389,0.0029,1,Grains
Cookie dough,https://www.cookingclassy.com/wp-content/uploads/2018/09/edible-cookie-dough-55.jpg,424,19000,4800,11000,2600,59000,0,5400,2500,24,294,0.021,0.23,0.035,4.00E-05,0.15,1.9,0.37,0.04,0,0,0,0,31,2.1,0.11,28,0.77,104,147,0.0091,0.64,Grains
Lima bean,"https://hips.hearstapps.com/hmg-prod/images/broad-beans-lima-beans-fresh-just-after-harvest-royalty-free-image-1718728588.jpg?crop=0.668xw:1.00xh;0.167xw,0&resize=1200:*",115,380,90,30,170,21000,2900,7800,7000,0,2,0,0.16,0.083,0,0.06,0.42,0.42,0.16,0,0,0.18,0.002,17,2.4,0.24,43,0.52,111,508,0.0045,0.95,Grains
Almond paste,https://www.kingarthurbaking.com/sites/default/files/2020-10/diy-almond-paste.jpg,458,28000,2600,18000,5800,48000,36000,9000,4800,0,9,0,0.08,0.073,0,0.41,1.4,0.11,0.04,0.1,0,14,0,172,1.6,0.45,130,0.86,258,314,0.0042,1.5,Grains
Snickers,https://m.media-amazon.com/images/I/91TUixzwrSL._SL1500_.jpg,488,24000,13000,0,0,63000,47000,6900,1900,9,189,0.036,0,0,0,0,0,0,0,0.5,0,0,0,90,0.68,0,0,0,0,0,0,0,Snacks
Caramello,https://i5.walmartimages.com/seo/Cadbury-Dairy-Milk-Caramello-Milk-Chocolate-Caramel-Candy-Bar-4-oz_b0f25555-49e2-44f2-a219-f4e165a230b1.46ae51cb9673b3a88e7093d8b84a5752.jpeg,462,21000,13000,5300,630,64000,57000,6200,1200,27,122,0.0909,0,0,0,0,0,0,0,1.7,0,0,0,213,1.1,0,0,0,150,341,0,0,Snacks
Almond joy,https://i5.walmartimages.com/seo/Almond-Joy-Coconut-and-Almond-Chocolate-King-Size-Candy-Bars-3-22-oz-4-Pieces_6a79e85d-b087-4d7d-b487-29fbe2580eff.c4bcb05e11f9e51b335e76badd8f2c82.jpeg,479,27000,18000,5300,1200,60000,48000,4100,5000,4,142,0.0126,0,0,0,0,0,0,0,0.7,0,0,0,64,1.3,0,0,0,112,254,0,0,Snacks
Creamsicle,https://nationaltoday.com/wp-content/uploads/2021/08/Creamsicle.jpg,49,2300,2000,0,0,12000,430,1400,7500,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0.03,0,0,0,0,0,0,0,Snacks
Ice pop,https://www.52newfoods.com/wp-content/uploads/2020/01/Strawberry-Cream-Pops-Half-the-Sugar-All-the-Love-Jennifer-Tyler-Lee.jpg,79,240,10,50,20,19000,14000,0,0,0,7,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.54,0,1,0,0,15,0.0002,0.15,Snacks
Marmalade,https://www.lavenderandlovage.com/wp-content/uploads/2013/01/P1212984.jpg,246,0,0,0,0,66000,60000,300,700,0,56,0.0186,0.01,0.009,0,0.03,0.05,0.02,0.02,4.8,0,0.06,0,38,0.15,0.09,2,0.02,4,37,0.0006,0.04,Snacks
Milky way,https://www.ubuy.vn/productimg/?image=aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvODFFVktVeXZSMkwuX1NMMTUwMF8uanBn.jpg,456,17000,12000,2200,260,71000,60000,4000,1000,9,167,0.033,0.05,0.004,0.00018,0.1,0.15,0.16,0.01,0.7,0.0004,0.89,0.0036,115,0.49,0.15,20,0.15,67,124,0.002,0.69,Snacks
Twix,https://m.media-amazon.com/images/I/71IBchCAjdL._SL1500_.jpg,502,25000,19000,3000,630,65000,48000,4900,1100,7,198,0.0201,0.16,0.026,0.00033,0.21,1.1,0.27,0.03,0.6,0,0.74,0.0056,106,0.81,0.2,27,0.27,105,186,0.0043,1.1,Snacks
Corn chips,https://www.therawchef.com/content/images/2023/07/raw-food-recipe-dehydrated-corn-chips-1.jpg,538,33000,4300,9100,16000,57000,270,6200,4000,0,514,0.0207,0.05,0.008,0,0.08,0.84,0.19,0.17,0,0,7.2,0.0063,138,1.2,0.1,72,0.33,194,144,0.0076,1.3,Snacks
White chocolate,https://www.cocoterra.com/wp-content/uploads/white-chocolate-with-milk-powder.jpg,539,32000,19000,9100,1000,59000,59000,5900,200,21,90,0.009,0.06,0.007,0.00056,0.28,0.75,0.61,0.06,0.5,0,0.96,0.0091,199,0.24,0.06,12,0.01,176,286,0.0045,0.74,Snacks
Skittles,https://www.vitaminhouse.vn/cdn/shop/files/snapedit_1718162574971.png?v=1744342317,402,4300,4100,0,0,91000,76000,190,0,0,15,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,Snacks
Taffy (candy),https://www.ohnuts.com/noapp/showImage.cfm/extra-large/Assorted%20Salt%20Water%20Taffy%20.jpg,397,3300,2000,840,120,92000,68000,30,0,9,52,0.03,0.03,0,1.00E-05,0.01,0,0,0,0,0,0.09,0.0003,8,0.01,0,0,0,1,3,0.0007,0.21,Snacks
Fortune cookie,https://m.media-amazon.com/images/I/51zQCQDNlJL._SL1000_.jpg,378,2700,670,1300,470,84000,45000,4200,1600,2,31,0.0009,0.18,0.066,1.00E-05,0.13,1.8,0.3,0.01,0,0,0.03,0.0011,12,1.4,0.06,7,0.19,35,41,0.0029,0.17,Snacks
Toffee,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Thorntonstoffee.jpg/1200px-Thorntonstoffee.jpg,560,33000,21000,9000,1200,65000,63000,1100,0,104,135,0.3456,0.01,0.002,0.00011,0.07,0.03,0.13,0.01,0.2,0,0.94,0.0028,34,0.03,0,4,0,32,51,0.0008,0.12,Snacks
Fudge,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Handmade_fruit_fudge_squares.jpg/960px-Handmade_fruit_fudge_squares.jpg,411,10000,6400,2900,370,76000,73000,2400,1700,14,45,0.0477,0.03,0.004,9.00E-05,0.09,0.18,0.14,0.01,0,0,0.18,0.0014,49,1.8,0.33,36,0.42,71,134,0.0025,1.1,Snacks
Pectin,https://upload.wikimedia.org/wikipedia/commons/d/dd/Pectin.jpg,325,300,50,10,90,90000,0,300,8600,0,200,0.0009,0.01,0.001,0,0.06,0.01,0.11,0.01,0,0,0,0,7,2.7,0.42,1,0.07,2,7,0,0.47,Snacks
Tapioca,https://www.navitalo.com/wp-content/uploads/2021/12/tapioka-what-is-that.jpeg,105,1700,990,450,60,20000,0,2900,0,6,121,0.048,0.03,0.004,0.00025,0.14,0.08,0.28,0.03,0.7,0.0009,0,0,105,0.06,0.01,12,0.01,82,133,0.002,0.35,Snacks
Sugar,https://physalisvn.com/uploads/blog/2024_02/sugar.jpg,387,0,0,0,0,100000,100000,0,0,0,1,0,0,0,0,0.02,0,0,0,0,0,0,0,1,0.05,0.01,0,0,0,2,0.0006,0.01,Snacks
Plantain chips,https://foreignfork.com/wp-content/uploads/2022/02/SweetPlantainChipsFEATURE.jpg,531,30000,8300,5600,12000,64000,920,2300,3500,0,202,0.4158,0.07,0.035,0,0.04,0.8,1.1,0.46,32,0,5,0.029,9,0.97,0.2,71,0.28,78,786,0.0004,0.37,Snacks
After eight,https://m.media-amazon.com/images/I/712e63wVUaL._SL1500_.jpg,432,12000,8300,0,0,80000,67000,1700,2400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0.57,0,0,0,0,0,0,0,Snacks
York peppermint pattie,https://i5.walmartimages.com/asr/aa1b338b-d57a-48fa-a113-22ade0ee7e8f.3c3a97a6ce656788d552849b5cfee957.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,384,7200,4300,410,110,81000,64000,2200,2000,1,28,0.0021,0,0,0,0,0,0,0,0,0,0,0,11,0.92,0,0,0,0,111,0,0,Snacks
Rice milk,https://upload.wikimedia.org/wikipedia/commons/a/af/Rice_milk.jpg,47,970,0,630,310,9200,5300,280,300,0,39,0.0624,0.03,0.002,0.00063,0.14,0.39,0.15,0.04,0,0.001,0.47,0.0002,118,0.2,0.04,11,0.28,56,27,0.0022,0.13,Beverages
Apple juice,"https://www.usatoday.com/gcdn/authoring/authoring-images/2024/03/27/USAT/73123240007-getty-images-503096289.jpg?crop=5119,3839,x576,y0",46,130,20,10,40,11000,9600,100,200,0,4,0.0003,0.02,0,0,0.02,0.07,0.05,0.02,0.9,0,0.01,0,8,0.12,0.01,5,0.07,7,101,0.0001,0.02,Beverages
Liqueur,https://drinksworld.com/wp-content/uploads/liqueur-02.jpg,327,16000,9700,4500,670,21000,20000,2800,0,58,92,0.186,0.01,0.002,8.00E-05,0.06,0.08,0.09,0.01,0.2,0,0.45,0.0013,16,0.13,0.04,2,0.01,50,32,0.0004,0.16,Beverages
Syrah wine,https://cdn.shopify.com/s/files/1/0615/8663/7027/files/Syrah_blog_1_480x480.jpg?v=1700039931,83,0,0,0,0,2600,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverages
SlimFast shake,https://shop.slimfast.com/cdn/shop/products/slimfast-original-shakes-creamy-milk-chocolate_1.jpg?v=1673308852,58,2900,450,2100,290,850,600,6600,400,4,72,0.1695,0.17,0.039,0.0006,0.19,2.4,1.2,0.21,19,0.0011,4.6,0.0065,130,0.96,0.01,44,0,136,179,0.0045,0.85,Beverages
Sake,https://file.hstatic.net/200000079633/file/sake_1_5b2d617c39b14c06bcf4aa032a4e9656_1024x1024.jpg,134,0,0,0,0,5000,0,500,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,0.01,6,0,6,25,0.0014,0.02,Beverages
Whiskey sour,"https://assets.bonappetit.com/photos/63a4b2aba1a7b40ea0bebd03/1:1/w_1727,h_1727,c_limit/WhiskeySour.jpeg",383,100,20,10,40,97000,97000,600,0,0,274,0.009,0.01,0,1.00E-05,0,0,0.06,0,2.7,0,0,0,272,0.39,0.13,19,0,13,19,0.0006,0.14,Beverages
Wine,https://www.perfectcellar.com/cdn/shop/articles/Fine_Wine_and_Regular_Wine.jpg?v=1643119025,83,0,0,0,0,2700,790,70,0,0,5,0,0.01,0.001,0,0.02,0.17,0.04,0.05,0,0,0,0,8,0.37,0.01,11,0.12,20,99,0.0002,0.13,Beverages
Tomato juice,https://www.simplyrecipes.com/thmb/z95Tx3jzQkPNc_i1MlDHmy2pI-Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2008__08__homemade-tomato-juice-horiz-a-1200-c37b5128f0f248999446fc460f8afb96.jpg,17,290,20,10,30,3500,2600,850,400,0,10,0.135,0.1,0.02,0,0.08,0.67,0,0.07,70,0,0.32,0.0023,10,0.39,0.04,11,0.07,19,217,0.0005,0.11,Beverages
Water,"https://img.waterworld.com/files/base/ebm/ww/image/2024/03/65e724a21f04ab001e1d8534-dreamstime_xl_32360015.png?auto=format,compress&fit=max&q=45&w=640&width=640",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.02,1,0,0,0,0,0.01,Beverages
Sprite,https://product.hstatic.net/200000077081/product/e18_adef87e7cbf64567bb9d71abc0b82c94_grande.jpg,40,20,0,0,0,10000,9000,50,0,0,9,0,0,0,0,0,0.02,0,0,0,0,0,0,2,0.11,0,1,0,0,1,0,0.04,Beverages
Green tea,"https://images.immediate.co.uk/production/volatile/sites/30/2024/03/Green-tea440-af7dd17.jpg?quality=90&resize=440,400",30,180,0,0,0,7200,6900,0,0,0,2,0,0.04,0,0,0,0,0,0,7.7,0,0,0,3,0.02,0.01,1,0.12,0,5,0,0.01,Beverages
Sauvignon blanc,https://vangchat.com.vn/wp-content/uploads/2021/08/ruou-vang-tatachilla-sauvignon-blanc-300x300.jpg,81,0,0,0,0,2100,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverages
Roman chamomile,https://images-prod.healthline.com/hlcmsresource/images/chamomile-tea.jpg,1,0,0,0,10,200,0,0,0,0,1,0.006,0.01,0.001,0,0,0,0.01,0,0,0,0,0,2,0.08,0.02,1,0.04,0,9,0,0.04,Beverages
Malt beer,https://upload.wikimedia.org/wikipedia/commons/4/41/Flasche_Vitamalz.jpg,68,0,0,0,0,10000,9800,0,0,0,5,0,0.01,0.004,1.00E-05,0.01,0.23,0.04,0.02,2.8,0,0.02,0,4,0.03,0.01,4,0.01,7,27,0.0003,0.01,Beverages
Mocha,https://upload.wikimedia.org/wikipedia/commons/7/7e/Mocha_coffee.jpg,460,16000,4900,8900,1100,74000,58000,5300,1900,0,317,0.0015,0.03,0.009,0.00045,0.03,2.3,0.05,0.06,0.6,0,0,0.0015,271,0,0.44,68,0.45,251,1033,0.0062,0.96,Beverages
Semillon,https://bizweb.dktcdn.net/100/441/574/files/wine-semillon.jpg?v=1678355724330,82,0,0,0,0,3100,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverages
Horchata,https://carolinarice.com/wp-content/uploads/2020/04/GettyImages-493110032.jpg,54,710,0,0,0,12000,9400,480,0,0,14,0,0,0,0,0,0.05,0,0.02,0,0,0.24,0,18,0.01,0,3,0.01,15,34,0.0004,0.06,Beverages
Red Bull Energy Drink,https://shop.annam-gourmet.com/pub/media/catalog/product/cache/a75222ce7edda842b603082f8eb93d02/i/t/item_F140193_8a69.jpg,43,0,0,0,0,10000,10000,460,0,0,39,0,0.04,0,0.002,0.1,9.8,1.5,2.2,0,0,0,0,6,0.06,0,19,0.01,0,3,0.0002,0.01,Beverages
Lemon tea,https://teacultureoftheworld.com/cdn/shop/files/Image1_600x.jpg?v=1699359685,2,0,0,0,0,410,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0,37,0,0.01,Beverages
Creme de menthe,https://sanhruou.com/media/12926/catalog/Giffard-Creme-De-Menthe-Green.jpg,371,300,10,20,170,42000,42000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0,0.04,0,0,0.0004,0.04,Beverages
