food,image_url,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Banana melon,https://migardener.com/cdn/shop/products/MEL13_banana_5c3f0f8e-d3a3-41e7-b0b7-2377d900fa52_800x.jpg?v=1623166226,21,200,0,0,0,4100,3400,840,300,0,11,0,0.02,0.02,0,0.02,0.46,0.07,0.05,8.1,0,0,0.0049,13,0.21,0.04,10,0.04,9,140,0.0004,0.14,Fruits
Loganberries,https://specialtyproduce.com/sppics/545.png,55,310,10,30,180,13000,7700,1500,5300,0,1,0.0105,0.05,0.026,0,0.03,0.84,0.24,0.07,15,0,0.87,0.0078,26,0.64,0.12,21,1.2,26,145,0.0002,0.34,Fruits
Guava,https://img.imageboss.me/fourwinds/width/425/dpr:2/shop/files/Tropical-Pink-Guava-Tree.jpg?v=1729717324,68,950,270,90,400,14000,8900,2600,5400,0,2,0.1872,0.07,0.049,0,0.04,1.1,0.45,0.11,228,0,0.73,0.0026,18,0.26,0.23,22,0.15,40,417,0.0006,0.23,Fruits
Purslane,https://images.squarespace-cdn.com/content/v1/578753d7d482e9c3a909de40/1686566986194-UHW3K1U9J2EE1MINMZK1/249476-1600x1030-growing-harvesting-purslane.jpeg?format=2500w,20,360,0,0,0,3400,0,2000,0,0,45,0.396,0.05,0.012,0,0.11,0.48,0.04,0.07,21,0,0,0,65,2,0.11,68,0.3,44,494,0.0009,0.17,Vegetables
Radish,https://www.tasteofhome.com/wp-content/uploads/2019/05/radish-shutterstock_1010435131.jpg,16,100,30,20,50,3400,1900,680,1600,0,39,0.0021,0.01,0.025,0,0.04,0.25,0.17,0.07,15,0,0,0.0013,25,0.34,0.05,10,0.07,20,233,0.0006,0.28,Vegetables
Borage,https://ecohuertaonline.com/25-large_default/borage.jpg,21,700,170,210,110,3100,0,1800,0,0,80,1.26,0.06,0.013,0,0.15,0.9,0.04,0.08,35,0,0,0,93,3.3,0.13,52,0.35,53,470,0.0009,0.2,Vegetables
Shiitake,https://cdn.nhathuoclongchau.com.vn/unsafe/800x0/https://cms-prod.s3-sgn09.fptcloud.com/nam_shiitake_1_4cb12ef31e.jpg,34,490,0,0,0,6800,2400,2200,2500,0,9,0,0.02,0.013,0,0.22,3.9,1.5,0.29,0,0.0004,0,0,2,0.41,0.14,20,0.23,112,304,0.0057,1,Vegetables
Jerusalem artichoke,https://images.immediate.co.uk/production/volatile/sites/30/2020/02/iStock-jerusalem-artichoke-ed9d235.jpg,73,10,0,0,0,17000,9600,2000,1600,0,4,0.006,0.2,0.013,0,0.06,1.3,0.4,0.08,4,0,0.19,0.0001,14,3.4,0.14,17,0.06,78,429,0.0007,0.12,Vegetables
Truffle,https://gubistronomy.com/wp-content/uploads/2023/02/nam-truffle-2.jpg,284,730,0,0,0,73000,0,9300,70000,0,35,0,0.02,0.038,0,0.84,6.3,0.48,0.11,0,0,0,0,159,5.9,0.18,83,2,184,754,0.043,1.3,Vegetables
Basil,https://daylambanh.edu.vn/wp-content/uploads/2019/06/basil-la-gi.jpg,23,640,40,90,390,2700,300,3200,1600,0,4,1.5825,0.03,0.068,0,0.08,0.9,0.21,0.16,18,0,0.8,0.415,177,3.2,0.39,64,1.1,56,295,0.0003,0.81,Vegetables
Enoki mushrooms,https://yummyaddiction.com/wp-content/uploads/2023/11/how-to-cook-enoki-mushrooms-featured.jpg,37,290,20,0,90,7800,220,2700,2700,0,3,0,0.23,0.048,0,0.2,7,1.4,0.1,0,0.0001,0.01,0,0,1.2,0.11,16,0.08,105,359,0.0022,0.65,Vegetables
Barley,https://kiranamarket.com/wp-content/uploads/2024/06/BARLEY-1000G.jpg,123,440,90,60,210,28000,280,2300,3800,0,3,0.0021,0.08,0.016,0,0.06,2.1,0.14,0.12,0,0,0.01,0.0008,11,1.3,0.11,22,0.26,54,93,0.0086,0.82,Vegetables
Chayote,https://www.melissas.com/cdn/shop/products/image-of-chayote-squash-vegetables-33579281776684.jpg?v=1679408034,19,130,30,10,60,4500,1700,820,1700,0,2,0,0.03,0.093,0,0.03,0.47,0.25,0.08,7.7,0,0.12,0.0041,17,0.34,0.12,12,0.19,18,125,0.0002,0.74,Vegetables
Turnip,https://upload.wikimedia.org/wikipedia/commons/d/d3/Turnip_2622027.jpg,28,100,10,10,50,6400,3800,900,1800,0,67,0,0.04,0.015,0,0.03,0.4,0.2,0.09,21,0,0.03,0.0001,30,0.3,0.09,11,0.13,27,191,0.0007,0.27,Vegetables
Cassava,https://cdn.britannica.com/68/140368-050-C1B8D613/tubers.jpg,160,280,70,80,50,38000,1700,1400,1800,0,14,0.0039,0.09,0.027,0,0.05,0.85,0.11,0.09,21,0,0.19,0.0019,16,0.27,0.1,21,0.38,27,271,0.0007,0.34,Vegetables
Chili Pepper,https://www.instacart.com/company/wp-content/uploads/2022/04/chili-peppers-1050x525.jpg,40,200,20,10,110,9500,5100,2000,1500,0,7,0.3537,0.09,0.023,0,0.09,0.95,0.06,0.28,243,0,0.69,0.014,18,1.2,0.17,25,0.24,46,340,0.0005,0.3,Vegetables
Eggplant,https://www.bradleysmoker.com/cdn/shop/articles/Smoked-Marinated-Eggplant-Recipe-scaled.jpg?v=1675739133,25,180,30,20,80,5900,3500,980,3000,0,2,0.0069,0.04,0.022,0,0.04,0.65,0.28,0.08,2.2,0,0.3,0.0035,9,0.23,0.08,14,0.23,24,229,0.0003,0.16,Vegetables
Kanpyo,https://upload.wikimedia.org/wikipedia/commons/5/57/Kampyo.JPG,258,560,50,100,240,65000,0,8600,9800,0,15,0,0,0.061,0,0.04,2.9,2.6,0.53,0.2,0,0,0,280,5.1,0.43,125,1.1,188,1582,0.0026,5.9,Vegetables
Lettuce,https://i0.wp.com/post.healthline.com/wp-content/uploads/2020/03/romaine-lettuce-1296x728-body.jpg?w=1155&h=1528,15,150,20,10,80,2900,780,1400,1300,0,28,2.2215,0.07,0.038,0,0.08,0.38,0.13,0.09,9.2,0,0.22,0.126,36,0.86,0.03,13,0.25,29,194,0.0006,0.18,Vegetables
Chard,https://lh4.googleusercontent.com/_qvSQ4gt4bGw/TXfn0hD6JcI/AAAAAAAADWk/ia6lSvdBXiU/s640/swisschard.jpg,20,80,10,20,30,4100,1100,1900,2100,0,179,1.8372,0.03,0.009,0,0.09,0.36,0.16,0.09,18,0,1.9,0.327,58,2.3,0.16,86,0.33,33,549,0.0009,0.33,Vegetables
Portobello,https://cdn.britannica.com/48/187948-050-91A18EA8/portobello-mushroom.jpg,29,580,60,10,230,4400,2300,3300,2200,0,11,0,0.07,0.019,0,0.4,6.3,1.3,0.12,0,0.0003,0,0,3,0.4,0.39,13,0.07,135,437,0.022,0.65,Vegetables
Winter squash,https://www.seriouseats.com/thmb/euq0WVwG0FhFne10q25yrJeX8uI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__images__2017__11__20171031-squash-varieties-vicky-wasik-18-f6c3916c03e8431d9a8e2ebd18a02e96.jpg,37,350,70,30,150,8900,3300,890,2800,0,1,1.5669,0.02,0.02,0,0.07,0.5,0.23,0.16,9.6,0,0.12,0.0044,22,0.44,0.08,13,0.19,19,241,0.0004,0.22,Vegetables
Smoked salmon,https://www.bradleysmoker.com/cdn/shop/articles/AdobeStock_262242963-scaled.jpg?v=1675739306,117,4300,930,2000,1000,0,0,18000,0,23,672,0.0261,0.02,0.002,0.0033,0.1,4.7,0.87,0.28,0,0.017,1.4,0.0001,11,0.85,0.23,18,0.02,164,175,0.032,0.31,Meat
