food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Nutrition Density,Types,food_encoded
powerade coca cola,9,9.0,76.0,78.0,54.0,2300.0,1800.0,0.0,0.0,0.0,5.0,27100.0,0.0,0.021,0.0,0.082,0.0,0.5,0.0,0.013,0.0,0.0,0.0,0.0,0.3,0.096,0.0,0.3,5.3,0.058,2.671,drink,47
amp energy pepsi,110,200.0,0.0,0.0,0.0,29000.0,29000.0,600.0,0.0,0.0,93.0,209500.0,0.0,0.078,0.0,0.083,0.8,4.8,2.4,0.5,0.0,0.0,0.0,0.0,31.2,0.053,7.2,40.8,7.2,0.0,61.067,drink,48
gatorade g2 pepsi,2,52.0,0.0,0.0,0.0,600.0,400.0,69.0,0.0,0.0,11.0,28900.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,2.1,3.8,0.0,0.69,drink,49
amp energy sugar free pepsi,5,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,93.0,236000.0,0.0,0.0,0.0,0.084,0.3,2.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.2,40.8,4.8,0.0,2.5,drink,50
energy drink red bull,111,0.0,0.0,0.0,0.0,26400.0,26400.0,1200.0,0.0,0.0,100.0,230200.0,0.0,0.0,0.1,0.0,0.068,0.3,25.4,4.9,5.6,0.0,0.0,0.0,0.0,0.049,0.2,0.086,0.0,0.072,33.224,drink,51
powerade zero ion4 coca cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29500.0,0.0,0.098,0.0,0.028,0.0,0.2,0.0,0.064,0.7,0.0,0.2,0.057,0.6,0.072,0.3,0.0,3.0,0.026,1.393,drink,52
full throttle coca cola,110,200.0,0.0,0.0,0.0,29000.0,29000.0,600.0,0.0,0.0,71.0,209500.0,0.0,0.037,0.0,0.031,0.0,4.0,0.0,0.4,0.0,0.0,0.0,0.0,31.2,0.037,7.2,0.0,7.2,0.0,61.049,drink,53
passion fruit juice purple,148,400.0,64.0,37.0,300.0,35700.0,35200.0,1700.0,500.0,0.0,84.0,208000.0,0.0,0.0,0.039,0.0,0.2,5.5,0.0,0.1,45.0,0.0,0.09,0.011,9.9,0.9,42.0,61.8,686.7,0.1,94.1,drink,54
pomegranate juice,134,700.0,200.0,100.0,100.0,32700.000000000004,31500.0,400.0,200.0,0.0,89.0,214000.0,0.0,0.037,0.014,0.0,0.006,0.6,0.7,0.019,0.2,0.0,0.9,0.081,27.4,0.2,17.4,27.4,532.9,0.2,61.8,drink,55
cranberry apricot juice,157,0.0,0.0,0.0,0.0,39700.0,0.0,500.0,200.0,0.0,7.0,204600.0,0.0,0.089,0.071,0.0,0.01,0.3,0.071,0.082,0.0,0.0,0.0,0.0,22.1,0.4,7.4,12.3,149.5,0.05,62.9,drink,56
