food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Carambola,31.0,330.0,20.0,30.0,180.0,6700.0,4000.0,1000.0,2800.0,0.0,2.0,0.0182999999999999,0.01,0.012,0.0,0.02,0.37,0.39,0.02,34.0,0.0,0.15,0.0,3.0,0.08,0.1399999999999999,10.0,0.04,12.0,133.0,0.0006,0.12,Fruits
Cherimoya,75.0,680.0,230.0,60.0,190.0,18000.0,13000.0,1600.0,3000.0,0.0,7.0,0.0014999999999999,0.1,0.023,0.0,0.1299999999999999,0.64,0.35,0.2599999999999999,13.0,0.0,0.27,0.0,10.0,0.27,0.0699999999999999,17.0,0.09,26.0,287.0,0.0,0.16,Fruits
Cherry,50.0,300.0,70.0,80.0,90.0,12000.0,8500.0,1000.0,1600.0,0.0,3.0,0.3848999999999999,0.03,0.008,0.0,0.04,0.4,0.1399999999999999,0.04,10.0,0.0,0.0699999999999999,0.0021,16.0,0.32,0.1,9.0,0.11,15.0,173.0,0.0,0.1,Fruits
Crabapple (Malus),76.0,300.0,50.0,10.0,90.0,20000.0,0.0,400.0,0.0,0.0,1.0,0.0119999999999999,0.03,0.0,0.0,0.02,0.1,0.0,0.0,8.0,0.0,0.0,0.0,18.0,0.36,0.0699999999999999,7.0,0.12,15.0,194.0,0.0,0.0,Fruits
Cranberry,46.0,130.0,10.0,20.0,60.0,12000.0,4300.0,460.0,3600.0,0.0,2.0,0.0188999999999999,0.01,0.001,0.0,0.02,0.1,0.3,0.06,14.0,0.0,1.3,0.005,8.0,0.23,0.06,6.0,0.27,11.0,80.0,0.0001,0.09,Fruits
Currant,56.0,200.0,20.0,30.0,90.0,14000.0,7400.0,1400.0,4300.0,0.0,1.0,0.0125999999999999,0.04,0.008,0.0,0.05,0.1,0.06,0.0699999999999999,41.0,0.0,0.1,0.011,33.0,1.0,0.11,13.0,0.19,44.0,275.0,0.0006,0.23,Fruits
Custard apple,101.0,600.0,230.0,0.0,0.0,25000.0,0.0,1700.0,2400.0,0.0,4.0,0.0098999999999999,0.08,0.0,0.0,0.1,0.5,0.1399999999999999,0.22,19.0,0.0,0.0,0.0,30.0,0.71,0.0,18.0,0.0,21.0,382.0,0.0,0.0,Fruits
Dates,282.0,390.0,30.0,40.0,20.0,75000.0,63000.0,2500.0,8000.0,0.0,2.0,0.0029999999999999,0.05,0.019,0.0,0.0699999999999999,1.3,0.5900000000000001,0.17,0.4,0.0,0.05,0.0027,39.0,1.0,0.21,43.0,0.2599999999999999,62.0,656.0,0.003,0.29,Fruits
Elderberry,73.0,500.0,20.0,80.0,250.0,18000.0,0.0,660.0,7000.0,0.0,6.0,0.18,0.0699999999999999,0.006,0.0,0.06,0.5,0.1399999999999999,0.23,36.0,0.0,0.0,0.0,38.0,1.6,0.06,5.0,0.0,39.0,280.0,0.0006,0.11,Fruits
Figs,74.0,300.0,60.0,70.0,140.0,19000.0,16000.0,750.0,2900.0,0.0,1.0,0.0426,0.06,0.006,0.0,0.05,0.4,0.3,0.11,2.0,0.0,0.11,0.0047,35.0,0.37,0.0699999999999999,17.0,0.1299999999999999,14.0,232.0,0.0001999999999999,0.15,Fruits
Fruit salad,50.0,30.0,0.0,10.0,10.0,13000.0,0.0,510.0,1000.0,0.0,5.0,0.18,0.01,0.003,0.0,0.01,0.36,0.05,0.03,3.3,0.0,0.0,0.0,11.0,0.25,0.05,8.0,0.15,14.0,116.0,0.0,0.1399999999999999,Fruits
Gooseberry,44.0,580.0,40.0,50.0,320.0,10000.0,0.0,880.0,4300.0,0.0,1.0,0.087,0.04,0.006,0.0,0.03,0.3,0.29,0.08,28.0,0.0,0.37,0.0,25.0,0.31,0.0699999999999999,10.0,0.1399999999999999,27.0,198.0,0.0006,0.12,Fruits
Goji berries,349.0,390.0,0.0,0.0,0.0,77000.0,46000.0,14000.0,13000.0,0.0,298.0,8.0466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,190.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fruits
Grapefruit,42.0,140.0,20.0,20.0,40.0,11000.0,6900.0,770.0,1600.0,0.0,0.0,0.345,0.04,0.013,0.0,0.03,0.2,0.2599999999999999,0.05,31.0,0.0,0.1299999999999999,0.0,22.0,0.08,0.03,9.0,0.02,18.0,135.0,0.0001,0.0699999999999999,Fruits
Grape,67.0,350.0,110.0,10.0,100.0,17000.0,16000.0,630.0,900.0,0.0,2.0,0.03,0.09,0.004,0.0,0.06,0.3,0.02,0.11,4.0,0.0,0.19,0.015,14.0,0.29,0.04,5.0,0.7200000000000001,10.0,191.0,0.0001,0.04,Fruits
